2,42,0,2
3,34,0,2
10,48,0,2
7,39,0,2
74,97,0,2
66,84,0,2
101,142,0,2
47,49,0,2
71,99,0,2
0,36,0,2
1,38,0,2
11,20,0,2
17,40,0,2
6,28,0,2
4,37,0,2
25,30,0,2
26,31,0,2
57,93,0,2
65,75,0,2
113,146,0,2
116,137,0,2
128,132,0,2
127,138,0,2
96,154,0,3
9,151,0,3
35,150,0,3
27,153,0,3
78,155,0,3
45,160,0,3
8,178,0,4
19,21,0,2
80,81,0,2
55,58,0,2
63,76,0,2
83,133,0,2
77,149,0,2
112,139,0,2
18,46,0,2
159,162,0,4
82,92,0,2
50,86,0,2
123,126,0,2
88,95,0,2
141,145,0,2
102,104,0,2
12,179,0,5
29,165,0,3
32,33,0,2
136,144,0,2
120,140,0,2
91,177,0,4
163,176,0,5
174,196,0,6
53,89,0,2
103,170,0,3
94,158,0,3
152,164,0,4
69,181,0,3
5,187,0,3
73,182,0,3
54,183,0,3
157,175,0,5
51,85,0,2
115,148,0,2
110,147,0,2
111,156,0,3
23,166,0,3
56,212,0,3
70,172,0,3
68,87,0,2
100,143,0,2
121,191,0,3
59,189,0,3
14,16,0,2
107,130,0,2
52,190,0,3
105,122,0,2
173,192,0,5
43,216,0,4
61,168,0,3
24,161,0,3
188,201,0,9
180,208,0,5
198,199,0,4
72,119,0,2
114,193,0,3
135,194,0,3
209,210,0,6
205,222,0,6
125,129,0,2
185,218,0,5
117,131,0,2
79,167,0,3
67,90,0,2
200,229,0,7
13,195,0,6
62,207,0,4
124,233,0,5
44,232,0,6
169,215,0,5
15,197,0,3
171,186,0,4
109,220,0,3
106,219,0,3
108,134,0,2
98,242,0,4
203,246,0,6
217,225,0,6
206,231,0,13
22,223,0,3
238,243,0,8
213,247,0,7
118,226,0,3
221,249,0,8
214,240,0,7
211,245,0,11
228,230,0,7
224,239,0,4
184,234,0,4
204,251,0,7
202,265,0,17
60,255,0,5
64,260,0,9
227,244,0,12
236,252,0,6
250,259,0,6
258,266,0,20
263,268,0,12
237,273,0,18
254,267,0,6
256,272,1,15
248,275,1,12
261,274,1,13
235,264,1,10
41,270,1,18
257,278,1,24
269,279,1,13
253,280,1,18
277,283,1,22
241,262,1,5
276,281,1,32
282,286,2,26
271,287,2,23
289,291,2,31
284,290,2,50
285,288,3,46
292,295,5,69
293,296,10,100
294,297,30,150
